threshold	FDR	shuffled_peaks	peaks
37.31	0.0	0.0	7317.0
31.62	0.01602300739523418	156.0	9736.0
26.33	0.014622601639759952	173.0	11831.0
25.28	0.020199581522613873	251.0	12426.0
23.6	0.019813168600271207	263.0	13274.0
23.01	0.020013004840690702	277.0	13841.0
22.67	0.02261539559106799	317.0	14017.0
22.57	0.022816624543667507	325.0	14244.0
21.79	0.02776848444295751	415.0	14945.0
21.63	0.0284805934560869	430.0	15098.0
20.51	0.027581979773214832	450.0	16315.0
20.01	0.02712243337059481	461.0	16997.0
19.72	0.030252487490653936	526.0	17387.0
19.59	0.03305926687221651	579.0	17514.0
19.36	0.039363014466748905	702.0	17834.0
19.24	0.04076298520742965	733.0	17982.0
19.12	0.04428044280442804	804.0	18157.0
18.87	0.04397270659590599	812.0	18466.0
18.62	0.04420096205237841	827.0	18710.0
18.38	0.043951975458824774	831.0	18907.0
17.99	0.043338350547568384	835.0	19267.0
17.97	0.04380735134014205	845.0	19289.0
17.79	0.043834346347996295	851.0	19414.0
17.75	0.044209119416028377	860.0	19453.0
17.7	0.04436456996148909	864.0	19475.0
17.67	0.04510467980295566	879.0	19488.0
17.6	0.04555203758553774	892.0	19582.0
17.48	0.046674445740956826	920.0	19711.0
17.47	0.04686548995739501	924.0	19716.0
17.32	0.04703281242148636	936.0	19901.0
17.31	0.04761426418884982	948.0	19910.0
17.3	0.04754747231825242	949.0	19959.0
17.17	0.056293202048833854	1132.0	20109.0
17.16	0.059507829977628636	1197.0	20115.0
17.12	0.05951968308987373	1202.0	20195.0
17.1	0.05969854212997282	1208.0	20235.0
17.09	0.05972139893301719	1209.0	20244.0
16.91	0.059990253411306045	1231.0	20520.0
16.82	0.06051495902632983	1248.0	20623.0
16.76	0.06143658159319412	1271.0	20688.0
16.72	0.06207762116238656	1286.0	20716.0
16.68	0.06244884202417064	1297.0	20769.0
16.66	0.0631584010774929	1313.0	20789.0
16.64	0.06628214371545302	1379.0	20805.0
16.61	0.06787135119589705	1416.0	20863.0
16.59	0.0695440206481216	1455.0	20922.0
16.57	0.06997516239969431	1465.0	20936.0
16.54	0.07012442198598465	1471.0	20977.0
16.53	0.07093178353658537	1489.0	20992.0
16.43	0.07129340524174473	1507.0	21138.0
16.41	0.07124669935873255	1511.0	21208.0
16.4	0.07137812514713499	1516.0	21239.0
16.38	0.07146548888784476	1521.0	21283.0
16.37	0.07182450206689214	1529.0	21288.0
16.34	0.07257988941992316	1549.0	21342.0
16.27	0.07297904191616766	1560.0	21376.0
16.26	0.07802807704864512	1673.0	21441.0
16.23	0.07863860694664308	1689.0	21478.0
16.2	0.078320511632218	1690.0	21578.0
16.19	0.07986496485386607	1727.0	21624.0
16.18	0.08011279585798817	1733.0	21632.0
16.17	0.0800646054453161	1735.0	21670.0
16.14	0.0800036825630639	1738.0	21724.0
16.13	0.08039206663292071	1747.0	21731.0
16.12	0.08309956311795814	1807.0	21745.0
16.11	0.08327205882352941	1812.0	21760.0
16.08	0.08367356300747741	1824.0	21799.0
16.07	0.08355844512613891	1825.0	21841.0
16.06	0.08368813807627157	1828.0	21843.0
16.05	0.08390136785763301	1834.0	21859.0
16.03	0.08432304038004751	1846.0	21892.0
16.01	0.08560737428128137	1876.0	21914.0
15.99	0.08612352887510263	1888.0	21922.0
15.97	0.08812539870591451	1934.0	21946.0
15.94	0.08783477076713572	1935.0	22030.0
15.93	0.09104525030635864	2006.0	22033.0
15.92	0.09162695711368278	2019.0	22035.0
15.89	0.09177759666757222	2027.0	22086.0
15.88	0.09190926789514194	2030.0	22087.0
15.87	0.091891647447203	2032.0	22113.0
15.86	0.09188651969642211	2034.0	22136.0
15.84	0.09238592385923859	2053.0	22222.0
15.83	0.09321157047100634	2072.0	22229.0
15.8	0.09358012489330159	2083.0	22259.0
15.77	0.09359583819176608	2087.0	22298.0
15.75	0.09542360737954504	2131.0	22332.0
15.74	0.09553655370013878	2134.0	22337.0
15.73	0.09541473006792993	2135.0	22376.0
15.72	0.09628438728117185	2156.0	22392.0
15.71	0.09665046162080193	2167.0	22421.0
15.7	0.09679864455145354	2171.0	22428.0
15.68	0.0975892339913551	2190.0	22441.0
15.67	0.09792919171676687	2199.0	22455.0
15.66	0.09796499977735228	2200.0	22457.0
15.65	0.09832198335336272	2209.0	22467.0
15.64	0.09855085348506401	2217.0	22496.0
15.63	0.09870672414559353	2221.0	22501.0
15.6	0.09982253771073647	2250.0	22540.0
15.59	0.09985367800292644	2252.0	22553.0
15.56	0.09991154356479434	2259.0	22610.0
15.51	0.09999558907855852	2267.0	22671.0
15.5	0.10011025358324145	2270.0	22675.0
15.49	0.10099053488883997	2294.0	22715.0
15.45	0.10091783408721619	2298.0	22771.0
15.43	0.1025663522702347	2338.0	22795.0
15.42	0.10286892437269697	2345.0	22796.0
15.41	0.10304942166140904	2352.0	22824.0
15.39	0.1036319189802689	2374.0	22908.0
15.38	0.10360773022728265	2375.0	22923.0
15.36	0.10355325533858131	2381.0	22993.0
15.35	0.10465570356228576	2412.0	23047.0
15.33	0.10536348669959275	2432.0	23082.0
15.32	0.10765767715683304	2487.0	23101.0
15.31	0.10787071091687941	2493.0	23111.0
15.3	0.10828108108108109	2504.0	23125.0
15.28	0.10883736994344428	2521.0	23163.0
15.25	0.11200794198895028	2595.0	23168.0
15.24	0.11321568796651853	2624.0	23177.0
15.22	0.11320998835554405	2625.0	23187.0
15.21	0.11308089500860585	2628.0	23240.0
15.2	0.11555823051459524	2688.0	23261.0
15.19	0.1162770711584737	2706.0	23272.0
15.18	0.11621018287971151	2707.0	23294.0
15.17	0.11770256938188993	2744.0	23313.0
15.16	0.11776301692736234	2748.0	23335.0
15.15	0.11800205444273242	2757.0	23364.0
15.14	0.1181857081728712	2762.0	23370.0
15.13	0.11939596167008898	2791.0	23376.0
15.12	0.1199640749294329	2805.0	23382.0
15.11	0.12116289012398461	2834.0	23390.0
15.1	0.12480232508441254	2920.0	23397.0
15.09	0.1263193880603393	2956.0	23401.0
15.07	0.1261027061581078	2959.0	23465.0
15.06	0.12614952316076294	2963.0	23488.0
15.05	0.12620243466416958	2965.0	23494.0
15.04	0.12644705481784133	2971.0	23496.0
15.01	0.1262469754213185	2974.0	23557.0
15.0	0.12705074399084318	2997.0	23589.0
14.99	0.12694245670491594	2998.0	23617.0
14.98	0.1288821189811289	3046.0	23634.0
14.97	0.12880611512310486	3050.0	23679.0
14.96	0.12907448066205032	3057.0	23684.0
14.94	0.12907167839534786	3063.0	23731.0
14.93	0.1312773845635322	3116.0	23736.0
14.92	0.13154017763185588	3125.0	23757.0
14.91	0.13353253093173975	3173.0	23762.0
14.89	0.13468169203599362	3203.0	23782.0
14.88	0.13507268296781783	3215.0	23802.0
14.86	0.13639418633957825	3247.0	23806.0
14.85	0.13750419603893924	3277.0	23832.0
14.84	0.13753773901375377	3280.0	23848.0
14.83	0.1375958436334688	3284.0	23867.0
14.82	0.13765080428954424	3286.0	23872.0
14.81	0.13780549045865417	3293.0	23896.0
14.79	0.1410100841039374	3370.0	23899.0
14.78	0.1431918008784773	3423.0	23905.0
14.77	0.14453956984756733	3461.0	23945.0
14.76	0.14490273023294648	3471.0	23954.0
14.75	0.14519896554600817	3481.0	23974.0
14.74	0.14508203547930373	3484.0	24014.0
14.73	0.14506673319196706	3489.0	24051.0
14.72	0.1495470788664506	3599.0	24066.0
14.7	0.15022225915001455	3616.0	24071.0
14.69	0.151701244813278	3656.0	24100.0
14.68	0.1525219844035175	3677.0	24108.0
14.67	0.15255713633912646	3678.0	24109.0
14.66	0.15315726190969775	3694.0	24119.0
14.63	0.15318110366509474	3703.0	24174.0
14.62	0.15366488899913183	3717.0	24189.0
14.6	0.15380165289256198	3722.0	24200.0
14.58	0.15470435105987357	3744.0	24201.0
14.57	0.15476092162854074	3748.0	24218.0
14.55	0.15616099071207432	3783.0	24225.0
14.54	0.15588962108731466	3785.0	24280.0
14.53	0.15702071686945085	3820.0	24328.0
14.52	0.1571311138512125	3823.0	24330.0
14.51	0.15716575562040197	3824.0	24331.0
14.5	0.15781686667762618	3840.0	24332.0
14.49	0.1588892540256326	3868.0	24344.0
14.47	0.15936500123061778	3885.0	24378.0
14.46	0.15973589238845146	3895.0	24384.0
14.45	0.15989026737092085	3905.0	24423.0
14.43	0.161865513301779	3967.0	24508.0
14.42	0.16287894242931167	3992.0	24509.0
14.4	0.16382822685788787	4021.0	24544.0
14.39	0.1641699910445331	4033.0	24566.0
14.38	0.17757578216937872	4376.0	24643.0
14.37	0.17750831373185172	4377.0	24658.0
14.36	0.17800113479776283	4392.0	24674.0
14.35	0.17809828626990237	4396.0	24683.0
14.34	0.1797529864345009	4439.0	24695.0
14.33	0.18024291497975709	4452.0	24700.0
14.32	0.18230389379098194	4504.0	24706.0
14.31	0.18333737962288582	4531.0	24714.0
14.3	0.18329156899199742	4535.0	24742.0
14.29	0.18385469223007064	4555.0	24775.0
14.28	0.18516727126158808	4594.0	24810.0
14.26	0.18719826198905698	4653.0	24856.0
14.24	0.18913925372534843	4709.0	24897.0
14.23	0.1898866049605321	4739.0	24957.0
14.22	0.19206438180653426	4797.0	24976.0
14.21	0.19340150183735422	4842.0	25036.0
14.2	0.19465740297077144	4875.0	25044.0
14.19	0.19718984512214593	4940.0	25052.0
14.17	0.20058973541600256	5034.0	25096.0
14.16	0.2005247674326151	5044.0	25154.0
