threshold	FDR	shuffled_peaks	peaks
18.61	0.0	0.0	18877.0
18.42	0.0008958684654300169	17.0	18976.0
18.31	0.0016789087093389296	32.0	19060.0
18.27	0.00298804780876494	57.0	19076.0
18.24	0.0030888435160462803	59.0	19101.0
18.15	0.0033245026232403513	64.0	19251.0
18.14	0.004153902071758658	80.0	19259.0
17.95	0.005190667077808613	101.0	19458.0
17.78	0.0055003819709702065	108.0	19635.0
17.77	0.00590090548377251	116.0	19658.0
17.72	0.006294735773389512	124.0	19699.0
17.7	0.006598984771573604	130.0	19700.0
17.62	0.006674419780553168	132.0	19777.0
17.55	0.007342217752074428	146.0	19885.0
17.54	0.009150786867112475	182.0	19889.0
17.52	0.011357925419640164	226.0	19898.0
17.51	0.011666917029693054	233.0	19971.0
17.49	0.012348147777833326	247.0	20003.0
17.44	0.012526096033402923	252.0	20118.0
17.38	0.013038520648455704	263.0	20171.0
17.35	0.013528245787908821	273.0	20180.0
17.33	0.013865504605328316	280.0	20194.0
17.3	0.014251195818334237	289.0	20279.0
17.28	0.014877580176363368	302.0	20299.0
17.24	0.016054368167044225	326.0	20306.0
17.23	0.016248953665862424	330.0	20309.0
17.21	0.016616685512020057	338.0	20341.0
17.19	0.016997445470622912	346.0	20356.0
17.15	0.01711959187677818	349.0	20386.0
17.14	0.017602353518019122	359.0	20395.0
17.12	0.01773640372366487	362.0	20410.0
17.09	0.017845792793233266	365.0	20453.0
17.06	0.021429268768915356	439.0	20486.0
17.01	0.021436227224008574	440.0	20526.0
16.96	0.02144107351225204	441.0	20568.0
16.95	0.022556025472752903	464.0	20571.0
16.92	0.022678813723589843	468.0	20636.0
16.91	0.022823084750690507	471.0	20637.0
16.87	0.022840551657391725	472.0	20665.0
16.84	0.022952403962309735	475.0	20695.0
16.76	0.024292861266115066	505.0	20788.0
16.73	0.02738541366388008	570.0	20814.0
16.69	0.027539633124191772	575.0	20879.0
16.65	0.027816278736318884	582.0	20923.0
16.63	0.02799675123023267	586.0	20931.0
16.62	0.028462273161413563	596.0	20940.0
16.54	0.029383796120197793	618.0	21032.0
16.53	0.029422948949519915	619.0	21038.0
16.49	0.030524566816995016	643.0	21065.0
