threshold	FDR	shuffled_peaks	peaks
32.05	0.0	0.0	9695.0
28.81	0.0022293561619404316	25.0	11214.0
28.5	0.0048330404217926184	55.0	11380.0
26.64	0.005491842997900178	68.0	12382.0
25.89	0.007907638779060573	100.0	12646.0
25.37	0.007795615930842853	101.0	12956.0
25.11	0.008036391205458682	106.0	13190.0
24.96	0.00947653429602888	126.0	13296.0
24.93	0.011498572072749135	153.0	13306.0
24.7	0.015686860386942555	210.0	13387.0
24.56	0.015670256219829187	211.0	13465.0
24.15	0.01563870213387898	214.0	13684.0
24.03	0.019328878350219156	269.0	13917.0
23.89	0.020332453449382892	285.0	14017.0
23.64	0.021106875617676126	299.0	14166.0
23.4	0.022473478503629258	322.0	14328.0
23.28	0.02256523845781131	326.0	14447.0
23.22	0.023998344941728155	348.0	14501.0
22.97	0.023838714071652365	350.0	14682.0
22.94	0.024025045940243652	353.0	14693.0
22.87	0.024504480043442845	361.0	14732.0
22.7	0.02580471742490424	384.0	14881.0
22.67	0.0262752195187345	392.0	14919.0
22.6	0.027254509018036072	408.0	14970.0
22.56	0.031	465.0	15000.0
22.49	0.031121433311214333	469.0	15070.0
22.37	0.031192419057646747	474.0	15196.0
22.31	0.03286292957010323	503.0	15306.0
22.11	0.03574213672991942	550.0	15388.0
22.06	0.03682847896440129	569.0	15450.0
21.95	0.04109058017831761	636.0	15478.0
21.92	0.04326488441172672	670.0	15486.0
21.66	0.04725316941990011	738.0	15618.0
21.54	0.04888917181233688	768.0	15709.0
21.46	0.051353578900653014	810.0	15773.0
21.34	0.05219312085831493	827.0	15845.0
21.29	0.05388202672044366	855.0	15868.0
21.27	0.05461073318216175	867.0	15876.0
21.12	0.06164599206599081	979.0	15881.0
21.05	0.06181499342393687	987.0	15967.0
21.03	0.06213701367638794	995.0	16013.0
21.02	0.06296804792810784	1009.0	16024.0
20.97	0.06419676214196762	1031.0	16060.0
20.94	0.06536761501587499	1050.0	16063.0
20.88	0.06627255756067206	1065.0	16070.0
20.81	0.06637278033031169	1069.0	16106.0
20.79	0.06655099764530921	1074.0	16138.0
20.78	0.07076961178874373	1143.0	16151.0
20.75	0.07360939431396786	1191.0	16180.0
20.72	0.07448778079486547	1207.0	16204.0
20.64	0.07520823125918667	1228.0	16328.0
20.56	0.077068933879748	1260.0	16349.0
20.55	0.07724770642201835	1263.0	16350.0
20.47	0.07782172193489505	1279.0	16435.0
20.42	0.07923679893054628	1304.0	16457.0
20.36	0.08078364977627282	1336.0	16538.0
20.31	0.0819236346060899	1356.0	16552.0
20.17	0.08468056974577799	1409.0	16639.0
20.1	0.08461861609554101	1410.0	16663.0
20.06	0.08784878487848785	1464.0	16665.0
20.01	0.08941344778254649	1500.0	16776.0
19.96	0.0902327242426046	1516.0	16801.0
19.87	0.09300947867298578	1570.0	16880.0
19.85	0.09337900891855178	1581.0	16931.0
19.84	0.09388092287720541	1591.0	16947.0
19.81	0.09476412038400377	1609.0	16979.0
19.77	0.09696364597404122	1651.0	17027.0
19.66	0.09714385434238845	1670.0	17191.0
19.61	0.09882271066519747	1704.0	17243.0
19.47	0.10367583212735167	1791.0	17275.0
19.43	0.10424599053882543	1807.0	17334.0
19.38	0.10592976396085205	1840.0	17370.0
19.36	0.10755161902570887	1870.0	17387.0
19.33	0.10968628348980994	1916.0	17468.0
19.31	0.11243348400755278	1965.0	17477.0
19.29	0.11475128644939965	2007.0	17490.0
19.24	0.11713616364779156	2050.0	17501.0
19.21	0.11752953935726924	2059.0	17519.0
19.19	0.11761031290817196	2071.0	17609.0
19.16	0.11791730474732007	2079.0	17631.0
19.13	0.11941483329553186	2106.0	17636.0
19.09	0.12033054109123839	2126.0	17668.0
19.06	0.12304908391766568	2176.0	17684.0
19.04	0.12397581510990563	2194.0	17697.0
19.02	0.1289192700977346	2282.0	17701.0
18.97	0.13069463238610735	2318.0	17736.0
18.95	0.1305422871593144	2323.0	17795.0
18.94	0.13150207841815525	2341.0	17802.0
18.88	0.13243439825435013	2367.0	17873.0
18.86	0.13363900693357192	2390.0	17884.0
18.85	0.13589356587847282	2431.0	17889.0
18.82	0.13870895689077506	2484.0	17908.0
18.78	0.13926520599877348	2498.0	17937.0
18.73	0.1393743738172103	2504.0	17966.0
18.72	0.13955946156413393	2509.0	17978.0
18.71	0.13959179133529837	2510.0	17981.0
18.68	0.13974259403084432	2519.0	18026.0
18.57	0.1443208108405861	2620.0	18154.0
18.52	0.14755540889842161	2683.0	18183.0
18.5	0.14805052169137836	2696.0	18210.0
18.49	0.15250425146744198	2780.0	18229.0
18.41	0.15465835111329942	2827.0	18279.0
18.39	0.15527780809955244	2845.0	18322.0
18.36	0.15660418482999128	2874.0	18352.0
18.35	0.15673793591208313	2881.0	18381.0
18.27	0.1603804347826087	2951.0	18400.0
18.26	0.16383290781682872	3016.0	18409.0
18.22	0.16713742531233025	3077.0	18410.0
