threshold	FDR	shuffled_peaks	peaks
32.43	0.0	0.0	12410.0
31.72	0.00039329819869425	5.0	12713.0
31.07	0.0017557251908396946	23.0	13100.0
30.41	0.0023823704586063135	32.0	13432.0
30.21	0.0037630045008485206	51.0	13553.0
29.21	0.004164607891579021	59.0	14167.0
28.65	0.004322173435784852	63.0	14576.0
28.02	0.005267720210708808	79.0	14997.0
27.97	0.005930170575692964	89.0	15008.0
27.25	0.007036397364549351	110.0	15633.0
26.76	0.007010515773660491	112.0	15976.0
26.59	0.007146852277670748	115.0	16091.0
26.49	0.007298818581060185	118.0	16167.0
26.35	0.008002462296091105	130.0	16245.0
25.91	0.007890615588483316	131.0	16602.0
25.76	0.007956924917738558	133.0	16715.0
25.5	0.009300682834942313	158.0	16988.0
25.41	0.010779629413821233	185.0	17162.0
25.38	0.011231378026070764	193.0	17184.0
25.14	0.011636615012385505	202.0	17359.0
25.09	0.012128527907110422	211.0	17397.0
24.89	0.013348610713262675	233.0	17455.0
24.63	0.013224074597343883	234.0	17695.0
24.61	0.01431308463879184	254.0	17746.0
24.56	0.01452445042620009	259.0	17832.0
24.52	0.014675404693888982	262.0	17853.0
24.48	0.01476592650595671	264.0	17879.0
24.35	0.015257434531735463	275.0	18024.0
24.32	0.015917758249046593	288.0	18093.0
24.19	0.01700213897877475	310.0	18233.0
24.08	0.01702450661461722	314.0	18444.0
24.07	0.018483386633421865	341.0	18449.0
24.06	0.02139993498753928	395.0	18458.0
24.05	0.025373295823414844	469.0	18484.0
23.92	0.025509659515423205	478.0	18738.0
23.86	0.025989242157959204	488.0	18777.0
23.85	0.027372457130684844	514.0	18778.0
23.83	0.027559055118110236	518.0	18796.0
23.68	0.027390778613111823	521.0	19021.0
23.61	0.027769028871391075	529.0	19050.0
23.54	0.02984918854041643	572.0	19163.0
23.53	0.03142261594580511	603.0	19190.0
23.5	0.03149033464976096	606.0	19244.0
23.49	0.03158441558441558	608.0	19250.0
23.46	0.032157676348547715	620.0	19280.0
23.43	0.03234836702954899	624.0	19290.0
23.4	0.032902224521469216	636.0	19330.0
23.32	0.0333161423414131	646.0	19390.0
23.25	0.03424762881312484	668.0	19505.0
23.16	0.0342961201881734	678.0	19769.0
23.13	0.03559886891537063	705.0	19804.0
23.04	0.037085492879786644	737.0	19873.0
23.0	0.03802605210420842	759.0	19960.0
22.97	0.038919459729864936	778.0	19990.0
22.95	0.03972417928346575	795.0	20013.0
22.92	0.03970074812967581	796.0	20050.0
22.91	0.04202811845647622	843.0	20058.0
22.87	0.04315187670892369	868.0	20115.0
22.86	0.04359267166476342	878.0	20141.0
22.74	0.04399723784157048	892.0	20274.0
22.68	0.0440561161703175	895.0	20315.0
22.65	0.044066296168789654	896.0	20333.0
22.59	0.0458428941073085	939.0	20483.0
22.58	0.045777734489139965	940.0	20534.0
22.56	0.04567074354494273	941.0	20604.0
22.48	0.04708325284914043	975.0	20708.0
22.42	0.04712571676384137	978.0	20753.0
22.38	0.049084778420038534	1019.0	20760.0
22.33	0.04967125785861688	1035.0	20837.0
22.31	0.05056611015160238	1054.0	20844.0
22.28	0.05541730474732006	1158.0	20896.0
22.23	0.056837098692033294	1195.0	21025.0
22.22	0.056849510409734766	1196.0	21038.0
22.19	0.0569248269978197	1201.0	21098.0
22.15	0.05685634548980654	1202.0	21141.0
22.1	0.05721029029974038	1212.0	21185.0
22.07	0.05792323993407111	1230.0	21235.0
22.03	0.05901423671474886	1256.0	21283.0
22.01	0.06008079669297257	1279.0	21288.0
22.0	0.060085433976435246	1280.0	21303.0
21.92	0.06084520196124212	1303.0	21415.0
21.9	0.06271841945855272	1346.0	21461.0
21.89	0.06454316848281642	1386.0	21474.0
21.86	0.06437987374675083	1387.0	21544.0
21.85	0.06459840474865516	1393.0	21564.0
21.83	0.06502294109468415	1403.0	21577.0
21.82	0.06573096164535853	1419.0	21588.0
21.81	0.06604427600868883	1429.0	21637.0
21.75	0.06687898089171974	1449.0	21666.0
21.71	0.06819230414321306	1478.0	21674.0
21.67	0.07109113424758061	1550.0	21803.0
21.6	0.07089961601755349	1551.0	21876.0
21.58	0.07089023888914264	1552.0	21893.0
21.56	0.07099484088937588	1555.0	21903.0
21.53	0.07529283077343786	1652.0	21941.0
21.51	0.07685999362157729	1687.0	21949.0
21.48	0.07803061270836172	1718.0	22017.0
21.44	0.077880496054115	1727.0	22175.0
21.42	0.0781010719754977	1734.0	22202.0
21.4	0.07891896753305154	1755.0	22238.0
21.38	0.08064878465201959	1795.0	22257.0
21.37	0.08292902066486972	1846.0	22260.0
21.35	0.08503477675566525	1895.0	22285.0
21.33	0.08549153149923829	1908.0	22318.0
21.25	0.08626141171231351	1937.0	22455.0
21.24	0.08816064829244401	1980.0	22459.0
21.22	0.08880583733760455	1996.0	22476.0
21.15	0.08862386948040432	1999.0	22556.0
21.13	0.08970952886999646	2026.0	22584.0
21.1	0.09485537646279532	2148.0	22645.0
21.05	0.09579809725158563	2175.0	22704.0
